Name,Price in USD,Rating out of 5
Habitación en Barcelona,$44,4.91
Habitación compartida en Barcelona,$51,4.47
Habitación compartida en Barcelona,$28,4.52
Habitación compartida en Barcelona,$33,4.41
Habitación en Castelldefels,$38,4.91
Habitación compartida en Barcelona,$42,4.46
Habitación en Barcelona,$48,5.0
Habitación en Barcelona,$33,4.8
Habitación en Barcelona,$35,4.71
Departamento en El Masnou,$77,4.93
Habitación en Barcelona,$45,4.46
Habitación en Barcelona,$33,5.0
Habitación en Barcelona,$41,4.56
Habitación en Barcelona,$33,4.52
Habitación compartida en Barcelona,$32,4.23
Departamento en Barcelona,$130,4.83
Departamento en complejo residencial en Barcelona,$89,4.61
Habitación compartida en Barcelona,$36,4.6
Departamento en Barcelona,$144,4.69
Departamento en Barcelona,$131,4.77
Habitación en Barcelona,$49,4.6
Habitación en Barcelona,$28,4.8
Habitación en Barcelona,$32,4.52
Habitación en Hospitalet de Llobregat,$33,4.47
Habitación en Barcelona,$50,4.57
Habitación en Barcelona,$36,4.44
Habitación en Barcelona,$76,4.3
Habitación compartida en Barcelona,$31,4.23
Habitación en Almeda Mercader,$46,4.95
Habitación en Barcelona,$55,4.32
Habitación compartida en Barcelona,$38,3.65
Habitación en Barcelona,$47,4.81
Habitación en Barcelona,$46,4.98
Departamento en complejo residencial en Barcelona,$193,4.81
Departamento en Barcelona,$153,4.57
Departamento en Barcelona,$88,4.6
Departamento en Barcelona,$131,4.8
Departamento en Barcelona,$129,4.61
Habitación en Hospitalet de Llobregat,$38,4.66
Habitación en Barcelona,$45,4.95
Habitación en Barcelona,$99,4.9
Habitación en Barcelona,$82,5.0
Habitación en Barcelona,$81,4.72
Departamento en Barcelona,$146,4.6
Departamento en Barcelona,$84,4.62
Habitación en Barcelona,$39,4.77
Habitación en Barcelona,$50,4.55
Departamento en Barcelona,$111,4.74
Habitación en Barcelona,$50,4.55
Departamento en Barcelona,$111,4.74
Habitación en Barcelona,$38,4.91
Habitación en Barcelona,$44,4.94
Habitación en Hospitalet de Llobregat,$26,4.59
Habitación en Barcelona,$60,4.92
Habitación en El Prat de Llobregat,$46,4.94
Departamento en Barcelona,$120,4.5
Habitación en Barcelona,$42,4.71
Habitación en Barcelona,$82,4.67
Habitación en Hospitalet de Llobregat,$46,4.87
Habitación en Barcelona,$36,4.69
Habitación en Barcelona,$57,5.0
Habitación en Barcelona,$32,4.83
Habitación en Barcelona,$57,5.0
Habitación en Barcelona,$32,4.83
Departamento en Barcelona,$98,4.62
Departamento en Barcelona,$213,5.0
Habitación en Barcelona,$54,5.0
Departamento en Barcelona,$191,4.55
Departamento en complejo residencial en Barcelona,$135,4.6
Habitación en Barcelona,$50,4.7
Departamento en Barcelona,$133,4.63
Habitación en Barcelona,$76,4.3
Habitación en Barcelona,$89,4.56
Habitación en Barcelona,$44,4.74
Departamento en Barcelona,$101,4.24
Alojamiento en Barcelona,$55,4.08
Departamento en Barcelona,$151,4.88
Habitación compartida en Barcelona,$45,4.7
Habitación en Hospitalet de Llobregat,$33,4.9
Habitación en Hospitalet de Llobregat,$38,4.58
Departamento en Barcelona,$130,5.0
Habitación en Barcelona,$33,4.64
Habitación en Barcelona,$39,4.43
Departamento en Barcelona,$109,4.87
Departamento en Barcelona,$115,4.64
Departamento en Barcelona,$143,4.87
Habitación en Barcelona,$43,5.0
Habitación en Barcelona,$50,4.65
Habitación en Barcelona,$43,4.83
Loft en Sabadell,$58,5.0
Habitación en Barcelona,$60,4.84
Departamento en Barcelona,$153,4.7
Habitación en Barcelona,$56,5.0
Departamento en Barcelona,$211,4.73
Habitación en Barcelona,$66,5.0
Departamento en Barcelona,$131,4.84
Habitación en Barcelona,$55,4.44
Departamento en Barcelona,$129,4.65
Habitación en Barcelona,$83,4.67
Departamento en Barcelona,$139,4.49
Habitación en Hospitalet de Llobregat,$51,5.0
Departamento en Barcelona,$170,4.91
Habitación en Barcelona,$49,4.71
Habitación en Hospitalet de Llobregat,$44,4.91
Departamento en Barcelona,$218,4.8
Departamento en Barcelona,$132,4.62
Departamento en Barcelona,$265,4.79
Departamento en Barcelona,$97,4.63
Habitación en Barcelona,$55,4.59
Departamento en Barcelona,$141,4.58
